player_id,player_name,format,matches,innings,not_out,runs,high_score,avg,strike_rate,hundreds,fifties,fours,sixes,ducks
13170,Aaron Hardie,T20,16,11,0,180,0,0.0,0.0,0,0,0,0,0
13170,Aaron Hardie,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
7662,Glenn Maxwell,Test,7,14,0,339,0,0.0,0.0,1,0,0,0,0
7662,Glenn Maxwell,ODI,149,136,0,3990,0,0.0,0.0,4,23,0,0,12
7662,Glenn Maxwell,T20,124,114,0,2833,0,0.0,0.0,5,12,0,0,5
7662,Glenn Maxwell,IPL,141,135,0,2819,0,0.0,0.0,0,18,0,0,19
6250,Mitchell Marsh,Test,46,80,0,2083,0,0.0,0.0,3,9,0,0,9
6250,Mitchell Marsh,ODI,96,92,0,3000,0,0.0,0.0,4,20,0,0,7
6250,Mitchell Marsh,T20,73,70,0,1799,0,0.0,0.0,0,10,0,0,3
6250,Mitchell Marsh,IPL,55,49,0,1292,0,0.0,0.0,1,9,0,0,7
1629,Angelo Mathews,Test,119,212,0,8214,0,0.0,0.0,16,45,0,0,6
1629,Angelo Mathews,ODI,226,194,0,5916,0,0.0,0.0,3,40,0,0,16
1629,Angelo Mathews,T20,90,73,0,1416,0,0.0,0.0,0,6,0,0,1
1629,Angelo Mathews,IPL,49,42,0,724,0,0.0,0.0,0,1,0,0,3
10940,Kamindu Mendis,Test,14,24,0,1316,0,0.0,0.0,5,5,0,0,0
10940,Kamindu Mendis,ODI,24,23,0,464,0,0.0,0.0,0,3,0,0,2
10940,Kamindu Mendis,T20,27,24,0,443,0,0.0,0.0,0,2,0,0,3
10940,Kamindu Mendis,IPL,5,5,0,92,0,0.0,0.0,0,0,0,0,1
7872,Dhananjaya de Silva,Test,65,115,0,4133,0,0.0,0.0,12,19,0,0,10
7872,Dhananjaya de Silva,ODI,90,82,0,1865,0,0.0,0.0,0,10,0,0,4
7872,Dhananjaya de Silva,T20,45,44,0,847,0,0.0,0.0,0,3,0,0,2
7872,Dhananjaya de Silva,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
10934,Charith Asalanka,Test,3,6,0,88,0,0.0,0.0,0,0,0,0,0
10934,Charith Asalanka,ODI,78,70,0,2621,0,0.0,0.0,5,17,0,0,5
10934,Charith Asalanka,T20,64,62,0,1282,0,0.0,0.0,0,6,0,0,7
10934,Charith Asalanka,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
13694,Janith Liyanage,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
13694,Janith Liyanage,ODI,28,22,0,812,0,0.0,0.0,1,6,0,0,0
13694,Janith Liyanage,T20,3,3,0,28,0,0.0,0.0,0,0,0,0,0
13694,Janith Liyanage,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
13930,Sonal Dinusha,Test,1,1,0,11,0,0.0,0.0,0,0,0,0,0
13930,Sonal Dinusha,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0
13930,Sonal Dinusha,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0
13930,Sonal Dinusha,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
18515,Tharindu Rathnayake,Test,2,2,0,10,0,0.0,0.0,0,0,0,0,1
18515,Tharindu Rathnayake,ODI,0,0,0,0,0,0.0,0.0,0,0,0,0,0
18515,Tharindu Rathnayake,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0
18515,Tharindu Rathnayake,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
39678,Milan Priyanath Rathnayake,Test,5,6,0,190,0,0.0,0.0,0,1,0,0,0
39678,Milan Priyanath Rathnayake,ODI,1,1,0,22,0,0.0,0.0,0,0,0,0,0
39678,Milan Priyanath Rathnayake,T20,0,0,0,0,0,0.0,0.0,0,0,0,0,0
39678,Milan Priyanath Rathnayake,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
14251,Dunith Wellalage,Test,1,2,0,29,0,0.0,0.0,0,0,0,0,0
14251,Dunith Wellalage,ODI,31,24,0,386,0,0.0,0.0,0,1,0,0,3
14251,Dunith Wellalage,T20,4,2,0,12,0,0.0,0.0,0,0,0,0,0
14251,Dunith Wellalage,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
10926,Wanindu Hasaranga,Test,4,7,0,196,0,0.0,0.0,0,1,0,0,0
10926,Wanindu Hasaranga,ODI,66,54,0,1030,0,0.0,0.0,0,4,0,0,3
10926,Wanindu Hasaranga,T20,79,67,0,712,0,0.0,0.0,0,2,0,0,8
10926,Wanindu Hasaranga,IPL,37,19,0,81,0,0.0,0.0,0,0,0,0,5
1121,Mahmudullah,Test,50,94,0,2914,0,0.0,0.0,5,16,0,0,11
1121,Mahmudullah,ODI,239,209,0,5689,0,0.0,0.0,4,32,0,0,10
1121,Mahmudullah,T20,141,130,0,2443,0,0.0,0.0,0,8,0,0,5
1121,Mahmudullah,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
11871,Mahedi Hasan,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
11871,Mahedi Hasan,ODI,11,10,0,122,0,0.0,0.0,0,0,0,0,0
11871,Mahedi Hasan,T20,64,43,0,401,0,0.0,0.0,0,0,0,0,8
11871,Mahedi Hasan,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
11081,Mehidy Hasan Miraz,Test,54,98,0,2110,0,0.0,0.0,2,9,0,0,6
11081,Mehidy Hasan Miraz,ODI,108,79,0,1654,0,0.0,0.0,2,6,0,0,5
11081,Mehidy Hasan Miraz,T20,34,29,0,418,0,0.0,0.0,0,0,0,0,2
11081,Mehidy Hasan Miraz,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
10038,Fayyaz Ahmed,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
10038,Fayyaz Ahmed,ODI,3,3,0,47,0,0.0,0.0,0,0,0,0,0
10038,Fayyaz Ahmed,T20,1,1,0,11,0,0.0,0.0,0,0,0,0,0
10038,Fayyaz Ahmed,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9835,Rohan Mustafa,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9835,Rohan Mustafa,ODI,82,76,0,1508,0,0.0,0.0,1,7,0,0,8
9835,Rohan Mustafa,T20,57,52,0,1002,0,0.0,0.0,0,4,0,0,7
9835,Rohan Mustafa,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9832,Mohammad Naveed,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9832,Mohammad Naveed,ODI,40,35,0,401,0,0.0,0.0,0,0,0,0,2
9832,Mohammad Naveed,T20,30,23,0,172,0,0.0,0.0,0,0,0,0,3
9832,Mohammad Naveed,IPL,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9975,Aizaz Khan,Test,0,0,0,0,0,0.0,0.0,0,0,0,0,0
9975,Aizaz Khan,ODI,19,15,0,260,0,0.0,0.0,0,0,0,0,1
9975,Aizaz Khan,T20,93,80,0,994,0,0.0,0.0,0,0,0,0,7
