player_id,player_name,format,matches,innings,runs,balls_faced,highest_score,average,strike_rate,not_out,fours,sixes,fifty_plus,hundreds,double_hundreds,high_score,avg,fifties,ducks
18425,Nick Welch,ODI,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
18425,Nick Welch,T20,7,7,97,93.0,25.0,13.86,104.31,0,12,1,0.0,0,0.0,,,,
18425,Nick Welch,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
11148,Prince Masvaure,Test,10,19,451,1268.0,74.0,25.06,35.57,1,52,1,4.0,0,0.0,,,,
11148,Prince Masvaure,ODI,2,2,40,60.0,39.0,20.0,66.67,0,2,0,0.0,0,0.0,,,,
11148,Prince Masvaure,T20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
11148,Prince Masvaure,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
6326,Kane Williamson,Test,105,186,9276,17913.0,251.0,54.89,51.79,17,1031,27,37.0,33,6.0,,,,
6326,Kane Williamson,ODI,173,165,7236,8853.0,148.0,48.89,81.74,17,666,60,47.0,15,0.0,,,,
6326,Kane Williamson,T20,93,90,2575,2094.0,95.0,33.01,122.98,12,245,58,18.0,0,0.0,,,,
6326,Kane Williamson,IPL,79,77,2128,1694.0,89.0,35.47,125.62,17,185,64,18.0,0,0.0,,,,
11172,Finn Allen,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
11172,Finn Allen,ODI,22,21,582,624.0,96.0,27.71,93.27,0,78,14,5.0,0,0.0,,,,
11172,Finn Allen,T20,52,52,1285,787.0,137.0,25.2,163.28,1,113,89,5.0,2,0.0,,,,
11172,Finn Allen,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
9976,Mark Chapman,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
9976,Mark Chapman,ODI,30,26,868,811.0,132.0,39.45,107.03,4,78,30,3.0,3,0.0,,,,
9976,Mark Chapman,T20,90,80,1752,1316.0,104.0,26.55,133.14,14,150,66,9.0,1,0.0,,,,
9976,Mark Chapman,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
10694,Henry Nicholls,Test,58,90,3161,6225.0,200.0,39.02,50.78,9,344,9,12.0,10,1.0,,,,
10694,Henry Nicholls,ODI,81,79,2180,2713.0,124.0,34.6,80.36,16,198,19,15.0,1,0.0,,,,
10694,Henry Nicholls,T20,10,9,100,112.0,36.0,12.5,89.29,1,9,0,0.0,0,0.0,,,,
10694,Henry Nicholls,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
8549,Will Young,Test,22,39,1178,2535.0,89.0,32.72,46.47,3,149,5,11.0,0,0.0,,,,
8549,Will Young,ODI,46,46,1674,1934.0,120.0,40.83,86.56,5,189,27,10.0,4,0.0,,,,
8549,Will Young,T20,20,19,344,338.0,56.0,18.11,101.78,0,35,10,2.0,0,0.0,,,,
8549,Will Young,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
704,Alex Obanda,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
704,Alex Obanda,ODI,49,45,1306,1764.0,96.0,30.37,74.04,2,127,39,9.0,0,0.0,,,,
704,Alex Obanda,T20,51,47,797,670.0,103.0,18.53,118.96,4,100,25,1.0,1,0.0,,,,
704,Alex Obanda,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
26232,Saiteja Mukkamalla,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
26232,Saiteja Mukkamalla,ODI,33,32,993,1224.0,120.0,34.24,81.13,3,87,10,6.0,2,0.0,,,,
26232,Saiteja Mukkamalla,T20,18,18,639,418.0,100.0,42.6,152.88,3,64,27,5.0,1,0.0,,,,
26232,Saiteja Mukkamalla,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
14730,Aaron Jones,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
14730,Aaron Jones,ODI,52,52,1664,2329.0,123.0,33.96,71.45,3,116,32,11.0,1,0.0,,,,
14730,Aaron Jones,T20,48,43,770,672.0,94.0,24.06,114.59,11,41,39,2.0,0,0.0,,,,
14730,Aaron Jones,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
20217,Sushant Modani,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
20217,Sushant Modani,ODI,34,34,900,1426.0,111.0,26.47,63.12,0,78,5,6.0,1,0.0,,,,
20217,Sushant Modani,T20,5,4,93,68.0,50.0,31.0,136.77,1,5,3,1.0,0,0.0,,,,
20217,Sushant Modani,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
46671,Bodugum Akhilesh Reddy,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
46671,Bodugum Akhilesh Reddy,ODI,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
46671,Bodugum Akhilesh Reddy,T20,4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
46671,Bodugum Akhilesh Reddy,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
1415,Kyle Coetzer,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
1415,Kyle Coetzer,ODI,88,87,3192,3874.0,156.0,38.93,82.4,5,412,40,21.0,5,0.0,,,,
1415,Kyle Coetzer,T20,69,68,1495,1254.0,89.0,22.65,119.22,2,158,48,6.0,0,0.0,,,,
1415,Kyle Coetzer,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
13738,Dylan Budge,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
13738,Dylan Budge,ODI,17,15,248,312.0,46.0,22.55,79.49,4,18,1,0.0,0,0.0,,,,
13738,Dylan Budge,T20,8,6,60,62.0,24.0,15.0,96.78,2,2,3,0.0,0,0.0,,,,
13738,Dylan Budge,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
13527,Michael Jones,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
13527,Michael Jones,ODI,17,14,385,572.0,87.0,27.5,67.31,0,36,3,3.0,0,0.0,,,,
13527,Michael Jones,T20,11,11,224,164.0,86.0,22.4,136.59,1,20,11,1.0,0,0.0,,,,
13527,Michael Jones,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
10103,George Munsey,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
10103,George Munsey,ODI,70,69,2630,2926.0,191.0,44.58,89.89,10,268,83,18.0,3,0.0,,,,
10103,George Munsey,T20,80,79,2302,1596.0,132.0,31.11,144.24,5,247,105,13.0,2,0.0,,,,
10103,George Munsey,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
6708,Tom Cooper,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
6708,Tom Cooper,ODI,32,31,1319,1813.0,101.0,45.48,72.76,2,115,8,12.0,1,0.0,,,,
6708,Tom Cooper,T20,31,32,659,509.0,81.0,23.54,129.47,4,62,22,3.0,0,0.0,,,,
6708,Tom Cooper,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
1409,Tom de Grooth,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
1409,Tom de Grooth,ODI,34,32,480,774.0,97.0,16.55,62.02,3,46,2,1.0,0,0.0,,,,
1409,Tom de Grooth,T20,14,12,161,152.0,49.0,20.13,105.93,4,16,1,0.0,0,0.0,,,,
1409,Tom de Grooth,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
7609,Wilfred Diepeveen,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
7609,Wilfred Diepeveen,ODI,1,1,6,7.0,6.0,6.0,85.72,0,1,0,0.0,0,0.0,,,,
7609,Wilfred Diepeveen,T20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
7609,Wilfred Diepeveen,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
6477,Tim Gruijters,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
6477,Tim Gruijters,ODI,5,4,68,116.0,32.0,22.67,58.63,1,5,2,0.0,0,0.0,,,,
6477,Tim Gruijters,T20,8,5,51,47.0,21.0,25.5,108.52,3,3,1,0.0,0,0.0,,,,
6477,Tim Gruijters,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
634,Alexei Kervezee,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
634,Alexei Kervezee,ODI,39,36,924,1263.0,92.0,28.0,73.16,3,95,10,4.0,0,0.0,,,,
634,Alexei Kervezee,T20,9,10,289,262.0,58.0,32.11,110.31,1,19,6,2.0,0,0.0,,,,
634,Alexei Kervezee,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
7960,Neil Kruger,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
7960,Neil Kruger,ODI,1,1,5,20.0,5.0,5.0,25.0,0,0,0,0.0,0,0.0,,,,
7960,Neil Kruger,T20,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
7960,Neil Kruger,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
8073,Stephan Myburgh,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
8073,Stephan Myburgh,ODI,22,22,527,662.0,74.0,26.35,79.61,2,65,12,4.0,0,0.0,,,,
8073,Stephan Myburgh,T20,43,44,915,799.0,71.0,21.79,114.52,2,100,28,5.0,0,0.0,,,,
8073,Stephan Myburgh,IPL,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
10424,Max ODowd,Test,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,,,,
10424,Max ODowd,ODI,64,64,2153,2856.0,158.0,35.88,75.39,4,215,36,15.0,1,0.0,,,,
