player_id,player_name,format,matches,innings,balls,runs,maidens,wickets,avg,eco,sr,bbi,bbm,4w,5w,10w
13141,Matthew Kuhnemann,T20,1,1,24,33,0,0,0.0,8.25,0.0,0/33,0/33,0,0,0
13141,Matthew Kuhnemann,IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
13173,Lance Morris,Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
13173,Lance Morris,ODI,3,3,123,96,3,4,24.0,4.68,30.75,2/13,2/13,0,0,0
13173,Lance Morris,T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
13173,Lance Morris,IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
15146,Todd Murphy,Test,7,12,1157,619,34,22,28.14,3.21,52.59,7/124,7/124,1,1,0
15146,Todd Murphy,ODI,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
15146,Todd Murphy,T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
15146,Todd Murphy,IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
10280,Jhye Richardson,Test,3,6,535,243,28,11,22.09,2.73,48.64,5/42,5/45,0,1,0
10280,Jhye Richardson,ODI,15,15,810,793,11,27,29.37,5.87,30.0,4/26,4/26,1,0,0
10280,Jhye Richardson,T20,18,18,396,556,0,19,29.26,8.42,20.84,3/26,3/26,0,0,0
10280,Jhye Richardson,IPL,4,4,90,157,0,3,52.33,10.47,30.0,2/41,2/41,0,0,0
10938,Asitha Fernando,Test,24,41,3721,2187,82,80,27.34,3.53,46.51,6/51,10/144,5,2,1
10938,Asitha Fernando,ODI,25,24,960,910,3,35,26.0,5.69,27.43,4/35,4/35,1,0,0
10938,Asitha Fernando,T20,7,6,120,208,0,4,52.0,10.4,30.0,1/11,1/11,0,0,0
10938,Asitha Fernando,IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
11498,Prabath Jayasuriya,Test,22,41,7163,3828,184,122,31.38,3.21,58.71,7/52,12/177,3,12,2
11498,Prabath Jayasuriya,ODI,2,2,96,95,0,0,0.0,5.94,0.0,0/42,0/42,0,0,0
11498,Prabath Jayasuriya,T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
11498,Prabath Jayasuriya,IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
10472,Kasun Rajitha,Test,17,29,2996,1628,102,55,29.6,3.26,54.47,5/56,8/112,1,2,0
10472,Kasun Rajitha,ODI,34,34,1527,1554,5,43,36.14,6.11,35.51,4/50,4/50,2,0,0
10472,Kasun Rajitha,T20,18,18,396,615,1,17,36.18,9.32,23.29,3/29,3/29,0,0,0
10472,Kasun Rajitha,IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
8483,Akila Dananjaya,Test,6,12,1385,819,33,33,24.82,3.55,41.97,6/115,8/44,0,4,0
8483,Akila Dananjaya,ODI,42,40,2115,1809,6,59,30.66,5.13,35.85,6/29,6/29,2,2,0
8483,Akila Dananjaya,T20,33,33,701,965,1,30,32.17,8.26,23.37,3/36,3/36,0,0,0
8483,Akila Dananjaya,IPL,1,1,24,47,0,0,0.0,11.75,0.0,0/47,0/47,0,0,0
41309,Isitha Wijesundera,Test,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
41309,Isitha Wijesundera,ODI,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
41309,Isitha Wijesundera,T20,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
41309,Isitha Wijesundera,IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
10928,Lahiru Kumara,Test,34,57,5810,3749,136,104,36.05,3.87,55.87,6/122,7/135,9,1,0
10928,Lahiru Kumara,ODI,32,32,1299,1404,4,42,33.43,6.48,30.93,4/48,4/48,1,0,0
10928,Lahiru Kumara,T20,26,25,544,755,1,33,22.88,8.33,16.48,3/7,3/7,0,0,0
10928,Lahiru Kumara,IPL,0,0,0,0,0,0,0.0,0.0,0.0,-/-,-/-,0,0,0
